206158430587|2010-08-10T21:51:48.327|204.79.199.255|Internet Explorer|About Rogier Wassen, erlands, again with Jeff Coetzee. IAbout Sammy Davis, Jr.,  and in countless articles. After rAbout Traveling Wilburys Vol. 1, ilburys and was record|170
206158430588|2010-08-11T00:06:39.382|204.79.199.255|Internet Explorer|About Josip Broz Tito, the policy of nonalignmentAbout Michel Foucault, nces and the prison systemAbout Sammy Davis, Jr., vis|125
206158430589|2010-08-11T00:07:13.252|204.79.199.255|Internet Explorer|no|2 
206158430590|2010-08-11T03:32:08.233|204.79.199.255|Internet Explorer|LOL|3 
206158430591|2010-08-11T05:58:07.303|204.79.199.255|Internet Explorer|ok|2 
206158430592|2010-08-10T22:22:09.477|204.79.199.255|Internet Explorer|thanks|6 
206158430593|2010-08-10T18:24:29.773|204.79.199.255|Internet Explorer|About Josip Broz Tito, the Non-AligAbout Francis of Assisi,  July 16, 12About Rog|81 
206158430595|2010-08-31T04:18:00.022|204.79.199.255|Internet Explorer|yes|3 
206158430596|2010-08-31T03:26:19.991|204.79.199.255|Internet Explorer|About John Dryden,  to be known iAbout Fred Astaire,  (born FrederiAbout Katha|78 
206158430597|2010-08-31T07:14:10.218|204.79.199.255|Internet Explorer|About Che Guevara, Guevara(1928-0About Haile Selassie I, ions in 1936, About Herb|81 
206158430598|2010-08-31T03:30:47.660|204.79.199.255|Internet Explorer|LOL|3 
206158430599|2010-08-31T12:08:43.062|204.79.199.255|Internet Explorer|good|4 
206158430600|2010-08-31T09:10:58.092|204.79.199.255|Internet Explorer|yes|3 
206158430601|2010-09-01T01:14:13.592|204.79.199.255|Internet Explorer|maybe|5 
206158430602|2010-09-01T02:15:09.423|204.79.199.255|Internet Explorer|About Mark Twain, 35?�C April 21, About Katharine Hepburn, rican Film InstAbout Empir|84 
206158430603|2010-09-01T04:58:10.753|204.79.199.255|Internet Explorer|About Che Guevara, s for class sAbout Haile Selassie I, ty that traceAbout Arantxa S��nche|89 
206158430604|2010-09-01T06:34:52.925|204.79.199.255|Internet Explorer|About Che Guevara, convicted as warAbout Juan Carlos I of Spain, ay 1962. The couAbout Arantxa S��nchez Vicario, u 'Arantxa|122 
206158430605|2010-09-01T02:15:19.616|204.79.199.255|Internet Explorer|ok|2 
206158430606|2010-08-31T03:47:46.902|204.79.199.255|Internet Explorer|About Haile Selassie I, vement whose fAbout Oprah Winfrey, ent. OWN is a About Fr|81 
206158430607|2010-09-01T06:07:07.613|204.79.199.255|Internet Explorer|roflol|6 
206158430608|2010-08-31T08:50:47.195|204.79.199.255|Internet Explorer|About The Wall, hness became so acuAbout England, h west, the Celtic About |75 
206158430609|2010-08-31T06:41:08.603|204.79.199.255|Internet Explorer|cool|4 
206158430611|2010-08-30T11:20:01.747|91.201.140.249|Internet Explorer|About Haile Selassie I, ews led About Nicolas Sarkozy, last govAbout Alexandre Dumas,|85 
206158430612|2010-08-31T00:05:57.127|204.79.199.255|Internet Explorer|LOL|3 
206158430613|2010-08-30T05:35:08.602|204.79.199.255|Internet Explorer|About Diana, Princess of Wales, ies. She remAbout Clint Eastwood, on d'honneurAbout Alice |90 
206158430614|2010-08-30T06:40:09.827|204.79.199.255|Internet Explorer|good|4 
206158430615|2010-08-30T13:10:18.583|204.79.199.255|Internet Explorer|I see|5 
206158430616|2010-08-30T04:16:52.919|204.79.199.255|Internet Explorer|About Haile Selassie I, sperity. HaAbout Otto von Bismarck,  its affairAbout Thailand, |87 
206158430617|2010-08-30T02:08:18.115|204.79.199.255|Internet Explorer|About Haile Selassie I, elassie iAbout William McKinley, gn in whiAbout The Wall|80 
206158430618|2010-08-30T14:23:04.999|204.79.199.255|Internet Explorer|About Nicolas Sarkozy, embersAbout Alexandre Dumas, iter aAbout Amitabh Bachcha|79 
206158430619|2010-08-30T14:23:18.230|204.79.199.255|Internet Explorer|good|4 
206158430620|2010-08-30T08:22:05.778|204.79.199.255|Internet Explorer|great|5 
206158430621|2010-08-30T07:24:59.900|204.79.199.255|Internet Explorer|no way!|7 
206158430622|2010-08-30T07:02:02.501|204.79.199.255|Internet Explorer|cool|4 
206158430623|2010-08-30T21:00:53.801|204.79.199.255|Internet Explorer|About Alexandre Dumas, ) was aAbout William Morris, as devoAbout John A. Macdonald|82 
206158430624|2010-08-30T08:24:08.701|204.79.199.255|Internet Explorer|great|5 
206158430626|2010-08-29T22:57:02.429|204.79.199.255|Internet Explorer|About Haile Selassie I, te, among the About The Sickness, udes much moreAbout I S|81 
206158430627|2010-08-30T00:42:09.079|204.79.199.255|Internet Explorer|thx|3 
206158430628|2010-08-29T23:27:23.473|204.79.199.255|Internet Explorer|About Mustafa Kemal Atat��rk, e referred to as About Jack Kirby, t of the DC Comic|81 
206158430629|2010-08-30T06:39:57.467|204.79.199.255|Internet Explorer|thanks|6 
206158430630|2010-08-30T13:34:31.421|204.79.199.255|Internet Explorer|thx|3 
206158430631|2010-08-30T02:09:28.094|204.79.199.255|Internet Explorer|About I Should Be So Lucky, itive to mixed rAbout Peru, and the capital About T|79 
206158430632|2010-08-30T21:01:15.401|204.79.199.255|Internet Explorer|right|5 
206158430633|2010-08-29T21:54:12.375|204.79.199.255|Internet Explorer|thanks|6 
687194767787|2011-10-22T18:55:30.602|91.191.192.127|Firefox|right|5 
687194767788|2011-10-23T14:24:38.086|61.17.197.42|Safari|yes|3 
687194767789|2011-10-22T21:19:22.911|91.191.192.127|Firefox|no|2 
687194767790|2011-10-23T13:22:59.115|61.17.197.42|Safari|About Charlemagne, pean Middle Ages. He is nuAbout Joe Strummer, ion of new music, and eachAbout Niandra Lades and Usually Just a T-Shirt, d synthesizers on a four-tAbout France, ph|181
687194767791|2011-10-22T22:50:48.364|61.17.197.42|Safari|maybe|5 
687194767792|2011-10-23T21:25:16.024|91.191.192.127|Firefox|thanks|6 
687194767793|2011-10-23T14:42:55.439|61.17.197.42|Safari|I see|5 
687194767794|2011-10-24T00:31:24.307|91.191.192.127|Firefox|ok|2 
687194767795|2011-10-23T04:03:38.924|61.17.197.42|Safari|About Vladimir Putin, ion of Russia aAbout Joe Strummer, ance, Strummer'About Democr|84 
687194767796|2011-10-23T06:41:33.717|91.191.192.127|Firefox|About Two Steps from the Move,  a car accident on DecAbout Getback,  from Little Brothe|87 
687194767797|2011-10-23T19:49:24.021|91.191.192.127|Firefox|LOL|3 
687194767798|2011-10-23T06:56:00.404|61.17.197.42|Safari|thx|3 
343597384120|2010-11-04T02:59:09.708|41.153.161.111|Internet Explorer|About J. R. R. Tolkien, h within it. Between 1951 and 1955, Tolkien aAbout James Stewart|88 
343597384121|2010-11-04T11:15:48.726|196.32.227.177|Chrome|About J. R. R. Tolkien,  the great success of The About James Stewart,  in th|77 
206158430651|2010-09-01T14:03:35.082|41.153.161.111|Internet Explorer|no way!|7 
206158430652|2010-09-01T21:50:19.192|196.32.227.177|Chrome|no way!|7 
206158430653|2010-09-01T16:24:07.944|196.32.227.177|Chrome|About J. R. R. Tolkien, cess of The Hobbit and The Lord of the Rings lAbout Music from Van|90
206158430654|2010-09-01T19:09:45.443|196.32.227.177|Chrome|ok|2 
206158430655|2010-09-01T23:59:21.704|186.169.83.109|Firefox|About J. R. R. Tolkien, the 5th top-earning dead celebrity in 2009. Nominated for a Nobel Prize in Literature byAbout Thailand, e Vietnam in the Gulf of Thailand to the south|174 
206158430656|2010-09-02T02:04:39.306|41.153.161.111|Internet Explorer|fine|4 
206158430657|2010-09-01T16:26:17.677|196.32.227.177|Chrome|maybe|5 
206158430658|2010-09-01T13:49:27.156|186.169.83.109|Firefox|About Dean Martin, film actor, television star and comedian. Martin's hit singles|81 
206158430659|2010-09-02T13:40:13.508|186.169.83.109|Firefox|no|2 
206158430660|2010-09-01T16:35:28.630|186.169.83.109|Firefox|great|5 
206158430661|2010-09-01T20:54:29.807|196.32.227.177|Chrome|About J. R. R. Tolkien, lished a series of works based on his fathAbout Universal |82
206158430662|2010-09-02T05:41:57.843|196.32.227.177|Chrome|LOL|3 
206158430663|2010-09-02T07:05:33.340|196.32.227.177|Chrome|ok|2 
206158430664|2010-09-02T16:40:31.144|41.153.161.111|Internet Explorer|great|5 
206158430665|2010-09-01T13:47:20.781|186.169.83.109|Firefox|great|5 
206158430666|2010-09-02T06:27:50.831|196.32.227.177|Chrome|maybe|5 
824633721292|2012-01-10T12:25:43.596|200.4.252.31|Firefox|duh|3 
824633721293|2012-01-10T17:59:46.252|196.32.227.177|Chrome|no way!|7 
824633721294|2012-01-10T05:10:07.730|190.2.29.231|Firefox|About Chad, e, the country is sometimes referred to as the Dead Heart of Africa. Chad is divided into multiple regions: a desert zone in the n|142 
824633721295|2012-01-10T19:26:08.103|165.183.118.237|Firefox|no way!|7 
824633721296|2012-01-11T00:46:48.601|190.7.72.154|Firefox|right|5 
824633721297|2012-01-10T08:12:28.662|190.7.72.154|Firefox|good|4 
824633721298|2012-01-10T10:27:26.503|165.183.118.237|Firefox|no|2 
824633721299|2012-01-10T05:37:20.052|118.107.128.185|Chrome|thanks|6 
824633721300|2012-01-10T01:54:45.979|165.183.118.237|Firefox|About Donald Trump, nd around the world. Trump is the son of Fred Trump, a weal|79 
824633721301|2012-01-10T07:43:52.364|165.183.118.237|Firefox|thanks|6 
824633721302|2012-01-10T05:43:17.443|200.4.252.31|Firefox|yes|3 
824633721303|2012-01-10T01:24:44.411|165.183.118.237|Firefox|great|5 
824633721304|2012-01-10T16:18:21.086|195.49.208.210|Internet Explorer|thx|3 
824633721305|2012-01-10T06:48:07.146|196.32.227.177|Chrome|no way!|7 
824633721306|2012-01-10T11:11:11.136|186.169.83.109|Firefox|About Nicole Kidman, ). Her performance in 2010's Rabbit Hole (which she also produced) e|89
824633721307|2012-01-10T05:55:06.774|190.2.29.231|Firefox|thx|3 
824633721308|2012-01-10T13:30:50.850|196.32.227.177|Chrome|About Edward Heath, ruary 1975 Monarch Elizabeth II Prime MinisterAbout Nicole Kidman, Far|90 
481036337630|2011-04-14T10:05:23.899|118.107.128.185|Chrome|yes|3 
481036337631|2011-04-14T20:34:06.242|186.169.83.109|Firefox|About Franz Schubert, Schubert's music during his lifetime was limited, but interest in his work increase|105 
481036337632|2011-04-15T05:15:11.934|41.153.161.111|Internet Explorer|About John Steinbeck, ze-winning novel The Grapes of Wrath (1939) and East of |78
549755814370|2011-06-16T10:51:47.692|41.153.161.111|Internet Explorer|no|2 
549755814371|2011-06-16T10:57:39.512|196.32.227.177|Chrome|right|5 
549755814372|2011-06-16T11:16:51.779|41.153.161.111|Internet Explorer|yes|3 
549755814373|2011-06-16T19:49:09.244|202.0.80.176|Chrome|About Kurt Weill, es. He was a leading composer for the stage who was best known for|84
549755814374|2011-06-16T12:21:11.777|186.169.83.109|Firefox|LOL|3 
549755814375|2011-06-16T23:54:40.421|186.169.83.109|Firefox|great|5 
549755814376|2011-06-16T22:36:52.655|118.107.128.185|Chrome|yes|3 
549755814377|2011-06-17T05:41:08.359|41.153.161.111|Internet Explorer|no way!|7 
549755814378|2011-06-16T23:22:36.851|186.169.83.109|Firefox|thanks|6 
549755814379|2011-06-16T11:11:41.070|196.32.227.177|Chrome|right|5 
549755814380|2011-06-17T08:55:00.504|118.107.128.185|Chrome|About Charles I of England,  in the First Civil War (1642�C45), after which Parlia|81 
618475291118|2011-07-18T17:12:35.543|196.32.227.177|Chrome|LOL|3 
618475291119|2011-07-19T13:34:16.348|196.32.227.177|Chrome|thanks|6 
618475291120|2011-07-18T18:12:41.966|41.153.161.111|Internet Explorer|fine|4 
618475291121|2011-07-18T18:57:44.936|186.169.83.109|Firefox|About Green Tambourine, e 1960s Ohio-based rock group The Lemon Pipers, as well as the|86 
618475291122|2011-07-18T20:36:54.509|41.153.161.111|Internet Explorer|thanks|6 
618475291123|2011-07-19T05:49:13.597|118.107.128.185|Chrome|About Swaziland, ion, as well as its people, are named after the 19th centu|75 
618475291124|2011-07-18T18:58:31.689|196.32.227.177|Chrome|great|5 
618475291125|2011-07-18T19:04:17.891|41.153.161.111|Internet Explorer|roflol|6 
618475291126|2011-07-18T20:36:21.451|41.153.161.111|Internet Explorer|duh|3 
618475291127|2011-07-19T06:36:21.156|118.107.128.185|Chrome|great|5 
618475291128|2011-07-18T21:12:44.801|186.169.83.109|Firefox|fine|4 
618475291129|2011-07-18T17:02:15.874|186.169.83.109|Firefox|no way!|7 
618475291130|2011-07-18T18:05:59.586|118.107.128.185|Chrome|About J. R. R. Tolkien, ty professor, best known as the author of the classic high fantasy wAbout The Dark Side of the Moon, t built on|135 
618475291131|2011-07-19T10:39:16.728|186.169.83.109|Firefox|About Henry V of England, me into political conflict with the increasingly il|77
618475291132|2011-07-18T18:15:15.356|186.169.83.109|Firefox|roflol|6 
618475291133|2011-07-19T07:12:00.705|41.153.161.111|Internet Explorer|ok|2 
618475291134|2011-07-19T00:12:28.923|186.169.83.109|Firefox|About Oscar Wilde, ising philosophy of aestheticism, led by two of his tutors, Walter Pate|90 
618475291135|2011-07-19T08:40:26.410|196.32.227.177|Chrome|no way!|7 
618475291136|2011-07-19T00:16:45.914|41.153.161.111|Internet Explorer|good|4 
481036337667|2011-04-03T05:22:02.085|118.107.128.185|Chrome|no|2 
481036337668|2011-04-03T10:45:06.913|196.32.227.177|Chrome|About Lord Byron, d mixed reviews, with one particularly negative one from |75 
1099511628294|2012-09-11T21:48:58.942|41.153.161.111|Internet Explorer|no|2 
1099511628295|2012-09-11T05:33:28.782|165.183.118.237|Firefox|About Scream Childhood, ever director Mark Romanek has refuted the claim saying that the|88
1099511628296|2012-09-11T19:16:05.721|165.183.118.237|Firefox|maybe|5 
1099511628297|2012-09-12T04:46:40.347|190.2.29.231|Firefox|thanks|6 
1099511628298|2012-09-11T12:00:10.924|192.190.31.253|Chrome|LOL|3 
1099511628299|2012-09-11T22:00:34.553|200.4.252.31|Firefox|no|2 
1099511628300|2012-09-11T10:02:31.785|192.160.111.235|Internet Explorer|duh|3 
549755814414|2011-06-19T13:37:30.881|41.153.161.111|Internet Explorer|maybe|5 
549755814415|2011-06-20T08:47:13.572|41.153.161.111|Internet Explorer|right|5 
549755814416|2011-06-19T17:24:13.685|118.107.128.185|Chrome|About J. R. R. Tolkien, ore precisely, of high fantasy. In 2008, TAbout Province of|83 
549755814417|2011-06-20T10:13:48.307|196.32.227.177|Chrome|About J. R. R. Tolkien, ed Tolkien to be popularly identified About Patti S|75
549755814418|2011-06-19T19:55:29.375|41.153.161.111|Internet Explorer|thanks|6 
549755814419|2011-06-20T11:04:53.909|200.40.246.241|Firefox|duh|3 
549755814420|2011-06-19T20:55:30.962|196.32.227.177|Chrome|thanks|6 
549755814421|2011-06-20T00:06:23.317|41.153.161.111|Internet Explorer|About Gilbert du Motier, marquis de Lafayette, ), often known as simply Lafayette, was|86
549755814422|2011-06-20T13:34:52.535|196.32.227.177|Chrome|roflol|6 
549755814423|2011-06-20T03:12:01.737|118.107.128.185|Chrome|cool|4 
549755814424|2011-06-19T18:24:13.608|118.107.128.185|Chrome|maybe|5 
549755814425|2011-06-19T22:05:41.739|118.107.128.185|Chrome|right|5 
549755814426|2011-06-19T18:16:19.311|202.45.144.101|Internet Explorer|maybe|5 
549755814427|2011-06-20T01:06:02.474|118.107.128.185|Chrome|I see|5 
549755814428|2011-06-20T12:14:31.177|118.107.128.185|Chrome|maybe|5 
549755814429|2011-06-19T12:08:01.901|41.153.161.111|Internet Explorer|About Silent Alarm, Alarm went on to achieve worldwide sales of over one million copies. Bloc Party aimed to create an album that appealed to followers of different musica|171
549755814430|2011-06-19T17:46:11.489|186.169.83.109|Firefox|cool|4 
549755814431|2011-06-19T20:05:25.677|196.32.227.177|Chrome|LOL|3 
549755814432|2011-06-20T10:20:38.384|186.169.83.109|Firefox|About J. R. R. Tolkien, ied the term legendarium to the larger part About Kelly Clarkso|87
549755814433|2011-06-19T12:25:14.275|186.169.83.109|Firefox|About J. R. R. Tolkien,  Lewis��they were both members of the informal About Pet Sounds, be|90 
824633721379|2012-03-03T06:45:02.656|198.50.19.91|Opera|About Pamela Anderson, r, activist, and former showgirl, known foAbout From Chaos,|82
824633721380|2012-03-04T02:04:07.102|198.50.19.91|Opera|About Ghana, ut not all of the country. The Gold Coast achieved independence from the Un|88
824633721381|2012-03-04T13:36:44.154|192.160.111.235|Internet Explorer|I see|5 
824633721382|2012-03-03T10:28:49.725|200.0.27.84|Firefox|fine|4 
824633721383|2012-03-04T01:39:43.506|200.0.27.84|Firefox|no way!|7 
824633721384|2012-03-03T10:04:39.621|14.204.93.69|Firefox|About Pamela Anderson, ian actress, model, produAbout Band of Gypsys, isso|74
824633721385|2012-03-04T05:10:52.267|21.111.144.187|Firefox|maybe|5 
824633721386|2012-03-03T10:51:30.880|192.147.218.174|Internet Explorer|no|2 
618475291182|2011-08-30T10:57:33.437|189.39.100.120|Firefox|About Pamela Anderson, producer, author, activist, and former showgirl, known fAbout Dr. Dre Presents the Afte|110
618475291183|2011-08-31T05:59:08.464|200.0.27.84|Firefox|About Pamela Anderson, e was known as Pamela Anderson Lee (or PAbout Mad World, Both Mad World and its B-side, Ideas |117 
618475291184|2011-08-31T22:00:14.293|200.0.27.84|Firefox|About Dr. Dre Presents the Aftermath,  received mixed reviews and was not amongst the year's morAbout Visigothic Kingdom, kings were Arian Christians and came into conflict |173 
618475291185|2011-08-30T01:01:39.020|189.39.100.120|Internet Explorer|ok|2 
618475291186|2011-09-01T02:30:33.091|204.79.199.255|Internet Explorer|About Dr. Dre Presents the Aftermath, h is a compilation albAbout Organisation of Afric|87
618475291187|2011-08-30T11:54:47.924|204.79.199.255|Internet Explorer|fine|4 
618475291188|2011-08-31T06:32:07.024|204.79.199.255|Internet Explorer|yes|3 
412316860984|2011-02-03T17:41:35.997|21.111.144.187|Firefox|About Jim Carrey, urt WondeAbout Henri Matisse, nts in paAbout Tom Gehrels, storical |85 
412316860985|2011-02-03T17:21:37.158|21.111.144.187|Firefox|About Tom Gehrels, Braun needs no phAbout Marilyn Monroe, ble suicide, the About For|84 
412316860986|2011-02-03T23:08:13.828|200.0.27.84|Firefox|roflol|6 
412316860987|2011-02-03T19:17:42.953|21.111.144.187|Firefox|cool|4 
